1.17,1446.67
1.18,1365
1.19,1355
1.2,1285
1.21,1131.67
1.22,1248.33
1.23,1183.33
1.24,1128.33
1.25,1100
1.26,978.333
1.27,1091.67

1.23,17595
1.24,16975
1.25,16120
1.26,15983.3
1.27,15225
1.28,14808.3
1.29,14316.7
1.3,13588.3
1.31,13393.3
1.32,12890
1.33,12405
1.34,12348.3
1.35,12045
1.36,11395
1.37,11173.3
1.38,10833.3
1.39,10421.7
1.4,10196.7
1.41,9920
1.42,9468.33
1.43,9158.33
1.44,9108.33
1.45,8833.33
1.46,8411.67
1.47,8253.33
1.48,8195
1.49,7726.67
1.5,7383.33
1.51,7185
1.52,7118.33
1.53,7071.67
1.54,6700
1.55,6736.67
1.56,6611.67
1.57,6395
1.58,6241.67
1.59,5920
1.6,5876.67
1.61,5590
1.62,5545
1.63,5401.67
1.64,5258.33
1.65,5246.67
1.66,4883.33
1.67,4700
1.68,4493.33
1.69,4608.33
1.7,4523.33
1.71,4365
1.72,4188.33
1.73,4160
1.74,4146.67
1.75,3981.67
1.76,3783.33
1.77,3838.33
1.78,3713.33
1.79,3575
1.8,3420
1.81,3380
1.82,3363.33
1.83,3315
1.84,3053.33
1.85,3066.67
1.86,3050
1.87,3011.67
1.88,2935
1.89,2661.67
1.9,2675
1.91,2713.33
1.92,2751.67
1.93,2436.67
1.94,2440
1.95,2260
1.96,2320
1.97,2385
1.98,2238.33
1.99,2205
2,2235
2.01,2123.33
2.02,2136.67
2.03,2006.67
2.04,1971.67
2.05,1906.67
2.06,1811.67
2.07,1881.67
2.08,1823.33
2.09,1821.67
2.1,1823.33
2.11,1671.67
2.12,1608.33
2.13,1530
2.14,1673.33
2.15,1500
2.16,1520
2.17,1521.67
2.18,1396.67
2.19,1373.33
2.2,1416.67
2.21,1416.67
2.22,1311.67
2.23,1378.33
2.24,1421.67
2.25,1310
2.26,1203.33
2.27,1110
2.28,1168.33
2.29,1215
2.3,1131.67
2.31,1125
2.32,996.667
2.33,1080
2.34,1015
2.35,1025
2.36,1058.33
2.37,1010
2.38,948.333
2.39,873.333
2.4,920
2.41,923.333
2.42,861.667
2.43,843.333
2.44,850
2.45,806.667
2.46,775
2.47,801.667
2.48,761.667
2.49,685
2.5,765
2.51,743.333
2.52,691.667
2.53,713.333
2.54,648.333
2.55,681.667
2.56,680
2.57,610
2.58,655
2.59,578.333
2.6,626.667
2.61,595
2.62,620
2.63,580
2.64,546.667
2.65,530
2.66,525
2.67,526.667
2.68,540
2.69,565
2.7,506.667
2.71,481.667
2.72,483.333
2.73,463.333
2.74,440
2.75,468.333
2.76,423.333
2.77,391.667
2.78,451.667
2.79,438.333
2.8,395
2.81,375
2.82,390
2.83,365
2.84,406.667
2.85,375
2.86,371.667
2.87,330
2.88,365
2.89,366.667
2.9,296.667
2.91,380
2.92,325
2.93,340
2.94,298.333
2.95,303.333
2.96,285
2.97,265
2.98,290
2.99,308.333
3,320
3.01,236.667
3.02,250
3.03,276.667
3.04,288.333
3.05,270
3.06,218.333
3.07,203.333
3.08,215
3.09,230
3.1,225
3.11,213.333
3.12,238.333
3.13,211.667
3.14,210
3.15,195
3.16,221.667
3.17,188.333
